UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
377546,1,3,1,5,5,1,3,1,3,"R",57,"R",19,"R",38,"R",42,"R",16,"R",26,"R",23,"R",8,"R",15,"R",23,"R",8,"R",15,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
377555,1,3,1,1,3,2,1,1,3,"R",4242,"R",1998,"R",2244,"R",3145,"R",1425,"R",1720,"R",829,"R",426,"R",403,"R",794,"R",402,"R",392,"R",35,"R",24,"R",11,"R",689,"R",83,"R",207,"R",25,"R",500,"R",620,"R",520,"R",640,"R",19,"R",28,"R",17,"R",26,"R",19,"R",28
377564,1,3,1,1,3,2,1,1,3,"R",2026,"R",886,"R",1140,"R",1769,"R",752,"R",1017,"R",655,"R",301,"R",354,"R",612,"R",284,"R",328,"R",43,"R",17,"R",26,"R",580,"R",89,"R",80,"R",12,"R",490,"R",600,"R",490,"R",590,"R",16,"R",24,"R",15,"R",22,"R",17,"R",24
379621,3,3,1,3,1,1,3,3,1,"R",10,"R",0,"R",10,"R",9,"A",,"R",9,"R",9,"A",,"R",9,"R",9,"A",,"R",9,"R",0,"A",,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
382416,3,3,3,3,1,3,3,3,1,"R",11,"R",4,"R",7,"R",9,"R",2,"R",7,"R",9,"R",2,"R",7,"R",9,"R",2,"R",7,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
383525,1,5,5,1,1,1,3,2,1,"R",148,"R",18,"R",130,"R",40,"R",4,"R",36,"R",23,"R",3,"R",20,"R",23,"R",3,"R",20,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
384254,1,3,1,2,1,3,3,1,1,"R",286,"R",181,"R",105,"R",145,"R",92,"R",53,"R",98,"R",62,"R",36,"R",98,"R",62,"R",36,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
384421,3,3,2,1,1,3,3,3,3,"R",30,"R",30,"Z",0,"R",26,"R",26,"A",,"R",23,"R",23,"A",,"R",23,"R",23,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
385619,3,3,1,2,3,3,2,2,1,"R",1500,"R",828,"R",672,"R",1124,"R",633,"R",491,"R",620,"R",365,"R",255,"R",620,"R",365,"R",255,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
386153,3,3,2,1,1,3,3,3,3,"R",627,"Z",0,"R",627,"R",523,"A",,"R",523,"R",409,"A",,"R",409,"R",409,"A",,"R",409,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
