UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
451352,3,3,3,3,3,3,3,3,1,"R",362,"R",39,"R",323,"R",362,"R",39,"R",323,"R",190,"R",17,"R",173,"R",120,"R",12,"R",108,"R",70,"R",5,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
451370,3,3,2,1,1,3,3,3,3,"R",8,"R",8,"Z",0,"R",8,"R",8,"A",,"R",6,"R",6,"A",,"R",6,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
451398,3,3,3,2,1,2,3,3,3,"R",96,"R",96,"Z",0,"R",72,"R",72,"A",,"R",49,"R",49,"A",,"R",49,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
451404,3,3,2,1,1,3,3,3,3,"R",124,"R",124,"R",0,"R",114,"R",114,"A",,"R",114,"R",114,"A",,"R",114,"R",114,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
451927,1,5,1,5,5,5,1,5,3,"R",177,"R",80,"R",97,"R",156,"R",71,"R",85,"R",82,"R",38,"R",44,"R",76,"R",38,"R",38,"R",6,"R",0,"R",6,"R",79,"R",96,"R",46,"R",56,"R",650,"R",720,"R",570,"R",660,"R",25,"R",31,"R",28,"R",35,"R",21,"R",28
454184,1,2,1,2,3,3,5,1,3,"R",1183,"R",380,"R",803,"R",467,"R",152,"R",315,"R",78,"R",36,"R",42,"R",76,"R",36,"R",40,"R",2,"R",0,"R",2,"R",19,"R",25,"R",33,"R",43,"R",550,"R",690,"R",540,"R",630,"R",25,"R",30,"R",24,"R",32,"R",24,"R",27
454227,1,3,1,3,3,3,2,2,1,"R",48,"R",4,"R",44,"R",44,"R",4,"R",40,"R",21,"R",2,"R",19,"R",18,"R",2,"R",16,"R",3,"R",0,"R",3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
454236,1,3,1,3,3,3,2,2,1,"R",31,"R",1,"R",30,"R",21,"R",1,"R",20,"R",9,"R",0,"R",9,"R",2,"A",,"R",2,"R",7,"A",,"R",7,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
454245,1,3,1,3,3,3,2,2,1,"R",8,"R",3,"R",5,"R",5,"R",2,"R",3,"R",4,"R",1,"R",3,"R",4,"R",1,"R",3,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
455196,3,3,3,3,1,3,2,3,1,"R",292,"R",34,"R",258,"R",100,"R",12,"R",88,"R",91,"R",11,"R",80,"R",91,"R",11,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
455257,3,3,2,1,1,3,3,3,3,"R",79,"R",79,"Z",0,"R",62,"R",62,"A",,"R",60,"R",60,"A",,"R",60,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
455664,1,1,1,5,5,3,5,5,3,"R",127,"R",35,"R",92,"R",31,"R",4,"R",27,"R",18,"R",2,"R",16,"R",4,"R",1,"R",3,"R",14,"R",1,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
455770,1,2,1,1,3,3,2,1,3,"R",62,"R",28,"R",34,"R",26,"R",13,"R",13,"R",21,"R",13,"R",8,"R",21,"R",13,"R",8,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
456959,1,5,1,1,2,3,1,1,3,"R",1440,"R",393,"R",1047,"R",1062,"R",253,"R",809,"R",217,"R",36,"R",181,"R",216,"R",36,"R",180,"R",1,"R",0,"R",1,"R",12,"R",6,"R",209,"R",96,"R",540,"R",688,"R",518,"R",643,"R",20,"R",26,"R",19,"R",24,"R",19,"R",26
457129,1,3,1,3,3,3,2,2,1,"R",24,"R",3,"R",21,"R",24,"R",3,"R",21,"R",9,"R",1,"R",8,"R",6,"R",0,"R",6,"R",3,"R",1,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
457350,1,3,1,1,3,3,1,1,3,"N",25,"N",12,"N",13,"N",22,"N",11,"N",11,"N",11,"N",5,"N",6,"A",,"A",,"A",,"N",11,"N",5,"N",6,"N",1,"N",9,"N",9,"N",82,"A",,"A",,"A",,"A",,"N",17,"N",23,"N",16,"N",23,"N",17,"N",23
457484,5,3,5,3,1,1,3,1,3,"R",35,"R",16,"R",19,"R",21,"R",9,"R",12,"R",17,"R",7,"R",10,"R",10,"R",4,"R",6,"R",7,"R",3,"R",4,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
457925,3,3,3,3,1,1,3,3,3,"R",5,"R",1,"R",4,"R",3,"R",1,"R",2,"R",1,"R",0,"R",1,"R",1,"A",,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
459417,1,2,1,3,1,1,5,1,3,"R",61,"R",27,"R",34,"R",13,"R",10,"R",3,"R",11,"R",8,"R",3,"R",11,"R",8,"R",3,"A",,"A",,"A",,"R",6,"R",55,"R",0,"R",0,"R",510,"R",620,"R",490,"R",570,"A",,"A",,"A",,"A",,"A",,"A",
459842,2,3,2,3,3,3,2,2,1,"R",93,"R",21,"R",72,"R",85,"R",19,"R",66,"R",54,"R",12,"R",42,"R",39,"R",10,"R",29,"R",15,"R",2,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
459851,2,3,2,3,3,3,2,2,1,"R",105,"R",8,"R",97,"R",98,"R",8,"R",90,"R",77,"R",6,"R",71,"R",43,"R",4,"R",39,"R",34,"R",2,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
459949,1,1,1,1,3,3,1,1,5,"R",10006,"R",3568,"R",6438,"R",5989,"R",2075,"R",3914,"R",632,"R",197,"R",435,"R",592,"R",183,"R",409,"R",40,"R",14,"R",26,"R",447,"R",71,"R",186,"R",29,"R",470,"R",580,"R",460,"R",540,"R",18,"R",20,"R",17,"R",19,"R",16,"R",18
460181,3,3,1,3,2,3,3,3,1,"R",219,"R",33,"R",186,"R",207,"R",31,"R",176,"R",114,"R",16,"R",98,"R",114,"R",16,"R",98,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
