UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
101365,05,"R",12,"R",5,"R",7,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"R",5,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",8,"R",3,"Z",0
101365,07,"R",9,"R",1,"R",8,"Z",0,"Z",0,"R",7,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",4,"Z",0
101365,10,"R",1,"R",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0
101365,12,"R",27,"R",20,"R",7,"Z",0,"R",1,"R",4,"R",3,"Z",0,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"R",24,"R",2,"R",1,"Z",0
101435,05,"R",233,"R",119,"R",114,"R",3,"R",2,"R",50,"R",12,"R",0,"R",153,"R",8,"R",5,"R",0,"R",0,"R",175,"R",36,"R",22,"R",0
101453,05,"R",9,"R",9,"R",0,"R",0,"R",1,"R",1,"R",1,"R",0,"R",6,"R",0,"R",0,"R",0,"R",0,"R",1,"R",4,"R",4,"R",0
101453,07,"R",10,"R",10,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8,"R",2,"R",0
101462,02,"R",18,"R",2,"R",16,"Z",0,"R",2,"R",6,"Z",0,"Z",0,"R",8,"R",1,"Z",0,"R",1,"R",0,"R",1,"R",16,"R",1,"R",0
101462,03,"R",65,"R",28,"R",37,"Z",0,"R",1,"R",25,"R",2,"Z",0,"R",27,"R",6,"R",1,"R",3,"R",0,"R",23,"R",31,"R",11,"R",0
101462,12,"R",54,"R",21,"R",33,"R",2,"Z",0,"R",21,"Z",0,"Z",0,"R",27,"R",2,"R",1,"R",1,"R",0,"R",16,"R",24,"R",14,"R",0
101471,02,"R",114,"R",84,"R",30,"R",0,"R",0,"R",65,"R",2,"R",0,"R",47,"R",0,"R",0,"R",0,"R",0,"R",10,"R",61,"R",43,"R",0
101471,12,"R",312,"R",203,"R",109,"R",5,"R",0,"R",145,"R",2,"R",0,"R",160,"R",0,"R",0,"R",0,"R",0,"R",66,"R",212,"R",34,"R",0
101480,05,"R",1454,"R",532,"R",922,"R",7,"R",11,"R",217,"R",0,"R",0,"R",1101,"R",0,"R",82,"R",36,"R",0,"R",935,"R",426,"R",93,"R",0
