UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
101143,02,"R",3,"R",2,"R",1,"R",0,"R",0,"R",2,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",1,"R",0
101143,03,"R",210,"R",94,"R",116,"R",3,"R",5,"R",56,"R",11,"R",0,"R",127,"R",7,"R",1,"R",0,"R",5,"R",119,"R",61,"R",25,"R",0
101161,01,"R",12,"R",7,"R",5,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",9,"Z",0,"Z",0,"Z",0,"R",1,"R",6,"R",4,"R",1,"Z",0
101161,02,"R",59,"R",10,"R",49,"Z",0,"R",1,"R",11,"R",4,"Z",0,"R",41,"R",2,"Z",0,"Z",0,"Z",0,"R",31,"R",26,"R",2,"Z",0
101161,03,"R",465,"R",131,"R",334,"R",4,"R",7,"R",90,"R",19,"R",1,"R",330,"R",10,"R",2,"R",2,"Z",0,"R",267,"R",156,"R",42,"Z",0
101189,03,"R",13,"R",5,"R",8,"Z",0,"Z",0,"R",7,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",6,"Z",0,"Z",0
101189,05,"R",532,"R",176,"R",356,"R",4,"R",0,"R",259,"R",10,"R",3,"R",240,"R",8,"R",1,"R",7,"Z",0,"R",154,"R",240,"R",138,"Z",0
101189,07,"R",171,"R",60,"R",111,"R",6,"R",2,"R",90,"R",2,"Z",0,"R",68,"Z",0,"Z",0,"R",3,"Z",0,"R",12,"R",93,"R",66,"Z",0
101189,09,"R",79,"R",41,"R",38,"R",1,"R",1,"R",24,"R",3,"Z",0,"R",50,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",61,"R",9,"Z",0
101240,01,"R",282,"R",182,"R",100,"R",5,"R",2,"R",45,"R",11,"R",0,"R",202,"R",5,"R",4,"R",8,"R",0,"R",161,"R",79,"R",42,"R",0
101240,02,"R",252,"R",142,"R",110,"R",4,"R",2,"R",32,"R",6,"R",0,"R",195,"R",6,"R",4,"R",3,"R",0,"R",128,"R",93,"R",31,"R",0
101240,03,"R",614,"R",227,"R",387,"R",7,"R",4,"R",81,"R",16,"R",0,"R",456,"R",17,"R",11,"R",22,"R",1,"R",303,"R",243,"R",67,"R",0
101277,02,"R",50,"R",0,"R",50,"R",0,"R",0,"R",1,"R",8,"R",0,"R",41,"R",0,"R",0,"R",0,"R",0,"R",37,"R",11,"R",2,"R",0
101286,01,"R",213,"R",161,"R",52,"R",4,"R",1,"R",69,"R",3,"Z",0,"R",135,"R",1,"Z",0,"Z",0,"Z",0,"R",56,"R",99,"R",58,"Z",0
101286,02,"R",164,"R",47,"R",117,"R",1,"R",2,"R",57,"R",1,"Z",0,"R",103,"Z",0,"Z",0,"Z",0,"Z",0,"R",86,"R",69,"R",9,"Z",0
101286,03,"R",549,"R",172,"R",377,"R",1,"R",3,"R",137,"R",10,"R",1,"R",389,"R",7,"R",1,"Z",0,"Z",0,"R",269,"R",210,"R",70,"Z",0
101295,01,"R",376,"R",235,"R",141,"R",2,"R",2,"R",8,"R",30,"R",0,"R",320,"R",2,"R",9,"R",3,"R",4,"R",286,"R",67,"R",19,"R",0
101295,02,"R",103,"R",47,"R",56,"R",0,"R",2,"R",5,"R",4,"R",0,"R",90,"R",0,"R",1,"R",1,"R",0,"R",55,"R",30,"R",18,"R",0
101295,03,"R",800,"R",246,"R",554,"R",4,"R",4,"R",33,"R",35,"R",0,"R",698,"R",7,"R",13,"R",6,"R",1,"R",504,"R",229,"R",66,"R",0
101301,01,"R",34,"R",27,"R",7,"R",0,"R",0,"R",31,"R",0,"R",0,"R",3,"R",0,"R",0,"R",0,"R",0,"R",23,"R",7,"R",4,"R",0
101301,02,"R",140,"R",77,"R",63,"R",0,"R",0,"R",108,"R",0,"R",0,"R",30,"R",0,"R",2,"R",0,"R",0,"R",87,"R",44,"R",9,"R",0
101301,03,"R",178,"R",55,"R",123,"R",1,"R",1,"R",114,"R",2,"R",0,"R",52,"R",1,"R",6,"R",1,"R",0,"R",99,"R",54,"R",25,"R",0
101365,01,"R",35,"R",29,"R",6,"Z",0,"Z",0,"R",6,"R",1,"Z",0,"R",25,"R",1,"R",2,"Z",0,"Z",0,"R",20,"R",12,"R",3,"Z",0
101365,02,"R",68,"R",30,"R",38,"Z",0,"Z",0,"R",32,"R",2,"Z",0,"R",26,"R",2,"R",6,"Z",0,"Z",0,"R",15,"R",43,"R",10,"Z",0
101365,03,"R",71,"R",17,"R",54,"Z",0,"Z",0,"R",39,"R",2,"Z",0,"R",22,"R",1,"R",7,"Z",0,"Z",0,"R",9,"R",46,"R",16,"Z",0
101365,05,"R",9,"R",5,"R",4,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"R",3,"R",0,"R",2,"Z",0,"Z",0,"Z",0,"R",9,"Z",0,"Z",0
101365,07,"R",4,"R",3,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
101435,05,"R",311,"R",143,"R",168,"R",5,"R",2,"R",60,"R",9,"Z",0,"R",203,"R",6,"R",26,"Z",0,"R",1,"R",180,"R",89,"R",41,"R",0
101453,05,"R",6,"R",5,"R",1,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"Z",0,"Z",0
101453,07,"R",6,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0
101462,01,"R",92,"R",57,"R",35,"R",1,"R",3,"R",46,"R",2,"R",0,"R",39,"R",1,"R",0,"R",0,"R",0,"R",27,"R",43,"R",22,"R",0
101462,02,"R",46,"R",18,"R",28,"R",0,"R",0,"R",16,"R",1,"R",0,"R",27,"R",2,"R",0,"R",0,"R",0,"R",14,"R",25,"R",7,"R",0
101462,03,"R",98,"R",53,"R",45,"R",0,"R",3,"R",54,"R",2,"R",0,"R",38,"R",1,"R",0,"R",0,"R",0,"R",27,"R",49,"R",22,"R",0
101471,01,"R",424,"R",327,"R",97,"R",1,"R",0,"R",229,"R",7,"R",0,"R",187,"R",0,"R",0,"R",0,"R",0,"R",64,"R",231,"R",129,"R",0
101471,02,"R",107,"R",91,"R",16,"R",1,"R",0,"R",51,"R",3,"R",0,"R",52,"R",0,"R",0,"R",0,"R",0,"R",9,"R",53,"R",45,"R",0
101480,05,"R",1352,"R",483,"R",869,"R",6,"R",4,"R",239,"R",0,"R",0,"R",943,"R",0,"R",130,"R",30,"R",0,"R",757,"R",485,"R",110,"R",0
101480,07,"R",318,"R",115,"R",203,"R",3,"R",0,"R",65,"R",0,"R",0,"R",196,"R",0,"R",40,"R",14,"R",0,"R",16,"R",221,"R",81,"R",0
101480,09,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0
101480,10,"R",28,"R",11,"R",17,"R",0,"R",0,"R",7,"R",0,"R",0,"R",17,"R",0,"R",4,"R",0,"R",0,"R",0,"R",18,"R",10,"R",0
101499,01,"R",70,"R",69,"R",1,"R",1,"R",1,"R",22,"R",1,"Z",0,"R",32,"R",1,"R",12,"Z",0,"Z",0,"R",22,"R",26,"R",22,"Z",0
101499,02,"R",36,"R",34,"R",2,"R",2,"Z",0,"R",8,"Z",0,"Z",0,"R",18,"Z",0,"R",8,"Z",0,"Z",0,"R",9,"R",17,"R",10,"Z",0
101499,03,"R",169,"R",44,"R",125,"R",1,"R",3,"R",38,"R",2,"Z",0,"R",120,"R",5,"Z",0,"Z",0,"Z",0,"R",108,"R",47,"R",14,"Z",0
101505,01,"R",227,"R",95,"R",132,"R",1,"R",1,"R",55,"R",4,"R",0,"R",159,"R",4,"R",0,"R",3,"R",3,"R",67,"R",96,"R",61,"R",0
101505,02,"R",218,"R",98,"R",120,"R",1,"R",1,"R",56,"R",4,"R",0,"R",146,"R",7,"R",0,"R",3,"R",0,"R",62,"R",108,"R",48,"R",0
101505,03,"R",853,"R",275,"R",578,"R",2,"R",16,"R",156,"R",24,"R",0,"R",617,"R",24,"R",1,"R",13,"R",0,"R",375,"R",371,"R",107,"R",0
101514,01,"R",293,"R",229,"R",64,"R",4,"R",5,"R",54,"R",13,"Z",0,"R",204,"R",5,"R",6,"R",2,"Z",0,"R",97,"R",114,"R",82,"Z",0
101514,02,"R",31,"R",9,"R",22,"Z",0,"R",1,"R",4,"R",1,"Z",0,"R",25,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",18,"R",5,"Z",0
101514,03,"R",1090,"R",428,"R",662,"R",21,"R",33,"R",136,"R",49,"Z",0,"R",776,"R",49,"R",15,"R",11,"R",1,"R",550,"R",415,"R",124,"Z",0
