UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
162007,1,3,1,2,3,3,5,1,3,"R",10816,"R",3773,"R",7043,"R",3894,"R",1300,"R",2594,"R",1086,"R",428,"R",658,"R",1075,"R",425,"R",650,"R",11,"R",3,"R",8,"R",955,"R",88,"R",131,"R",12,"R",440,"R",520,"R",420,"R",520,"R",16,"R",20,"R",14,"R",20,"R",15,"R",20
162061,1,5,1,2,2,3,1,1,3,"R",368,"R",296,"R",72,"R",275,"R",223,"R",52,"R",62,"R",55,"R",7,"R",60,"R",53,"R",7,"R",2,"R",2,"R",0,"R",46,"R",76,"R",14,"R",23,"R",480,"R",580,"R",460,"R",590,"R",19,"R",24,"R",16,"R",23,"R",16,"R",26
162210,1,3,1,3,1,3,1,2,3,"R",746,"R",288,"R",438,"R",458,"R",173,"R",276,"R",109,"R",51,"R",58,"R",105,"R",49,"R",56,"R",4,"R",2,"R",2,"R",31,"R",28,"R",17,"R",16,"R",410,"R",510,"R",390,"R",490,"R",15,"R",27,"R",15,"R",20,"R",15,"R",20
162283,1,3,3,3,3,3,1,3,3,"R",6598,"R",2019,"R",4579,"R",2409,"R",668,"R",1741,"R",411,"R",109,"R",302,"R",383,"R",102,"R",281,"R",28,"R",7,"R",21,"R",359,"R",87,"R",52,"R",13,"R",430,"R",510,"R",420,"R",500,"R",16,"R",19,"R",15,"R",20,"R",15,"R",18
162584,1,3,1,2,2,3,1,1,3,"R",3436,"R",1726,"R",1710,"R",2484,"R",1236,"R",1248,"R",774,"R",418,"R",356,"R",774,"R",418,"R",356,"R",0,"R",0,"R",0,"R",659,"R",85,"R",153,"R",20,"R",470,"R",560,"R",450,"R",550,"R",17,"R",23,"R",15,"R",22,"R",16,"R",23
162654,1,2,1,2,1,5,2,1,3,"R",3474,"R",2317,"R",1157,"R",2739,"R",1890,"R",849,"R",420,"R",297,"R",123,"R",420,"R",297,"R",123,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
162760,5,5,1,1,1,3,2,1,3,"R",1431,"R",591,"R",840,"R",1161,"R",467,"R",694,"R",256,"R",113,"R",143,"R",255,"R",113,"R",142,"R",1,"R",0,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
162928,1,3,1,2,1,3,1,1,3,"R",27156,"R",12732,"R",14424,"R",3405,"R",1625,"R",1780,"R",1420,"R",694,"R",726,"R",1420,"R",694,"R",726,"A",,"A",,"A",,"R",605,"R",43,"R",794,"R",56,"R",720,"R",770,"R",730,"R",800,"R",33,"R",35,"R",33,"R",35,"R",31,"R",35
163046,1,2,1,2,1,3,3,1,3,"R",11600,"R",4986,"R",6614,"R",8733,"R",3699,"R",5034,"R",1021,"R",426,"R",595,"R",1021,"R",426,"R",595,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
163268,1,5,1,1,1,3,1,1,3,"R",11201,"R",5288,"R",5913,"R",6744,"R",3305,"R",3439,"R",1772,"R",1001,"R",771,"R",1759,"R",995,"R",764,"R",13,"R",6,"R",7,"R",1443,"R",81,"R",476,"R",27,"R",550,"R",670,"R",590,"R",690,"R",24,"R",29,"R",23,"R",29,"R",23,"R",30
