UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
170000,03,"R",97,"R",38,"R",59,"R",0,"R",1,"R",35,"R",4,"R",1,"R",49,"R",0,"R",7,"R",0,"R",0,"R",17,"R",35,"R",45,"R",0
170000,05,"R",111,"R",59,"R",52,"R",2,"R",3,"R",23,"R",6,"R",1,"R",68,"R",5,"R",3,"R",0,"R",0,"R",38,"R",38,"R",34,"R",1
170000,07,"R",5,"R",3,"R",2,"R",0,"R",0,"R",1,"R",0,"R",0,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",0
170037,03,"R",32,"R",6,"R",26,"Z",0,"R",1,"R",8,"R",1,"Z",0,"R",22,"Z",0,"Z",0,"Z",0,"R",0,"R",1,"R",16,"R",15,"Z",0
170037,05,"R",437,"R",169,"R",268,"R",5,"R",4,"R",39,"R",23,"Z",0,"R",353,"R",3,"R",1,"R",9,"R",0,"R",242,"R",115,"R",80,"R",0
170037,07,"R",211,"R",109,"R",102,"R",1,"R",2,"R",38,"R",11,"Z",0,"R",147,"Z",0,"R",1,"R",11,"R",0,"R",6,"R",116,"R",89,"R",0
170055,01,"R",53,"R",31,"R",22,"Z",0,"R",2,"R",3,"R",2,"Z",0,"R",45,"Z",0,"R",1,"Z",0,"R",0,"R",16,"R",29,"R",8,"R",0
170055,02,"R",327,"R",228,"R",99,"R",4,"R",9,"R",21,"R",31,"R",0,"R",243,"R",3,"R",15,"R",1,"R",0,"R",135,"R",156,"R",36,"R",0
170055,03,"R",1633,"R",698,"R",935,"R",15,"R",60,"R",98,"R",153,"R",1,"R",1209,"R",29,"R",60,"R",8,"R",1,"R",924,"R",587,"R",121,"R",0
170082,01,"R",86,"R",29,"R",57,"R",0,"R",0,"R",1,"R",4,"R",0,"R",78,"R",2,"R",0,"R",1,"R",0,"R",80,"R",6,"R",0,"R",0
170082,05,"R",4605,"R",1806,"R",2799,"R",19,"R",106,"R",188,"R",227,"R",0,"R",3875,"R",140,"R",11,"R",39,"R",0,"R",3929,"R",624,"R",51,"R",1
170082,07,"R",1005,"R",320,"R",685,"R",4,"R",12,"R",40,"R",38,"R",0,"R",812,"R",23,"R",6,"R",70,"R",0,"R",245,"R",660,"R",100,"R",0
170082,09,"R",80,"R",18,"R",62,"R",0,"R",1,"R",0,"R",2,"R",0,"R",76,"R",1,"R",0,"R",0,"R",0,"R",3,"R",71,"R",6,"R",0
170082,10,"R",35,"R",16,"R",19,"R",0,"R",0,"R",8,"R",0,"R",0,"R",25,"R",0,"R",0,"R",2,"R",0,"R",4,"R",23,"R",8,"R",0
170091,03,"R",3,"R",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0
170091,05,"R",9,"R",7,"R",2,"Z",0,"Z",0,"R",1,"R",0,"Z",0,"R",7,"Z",0,"Z",0,"R",1,"Z",0,"R",5,"R",4,"Z",0,"Z",0
170240,01,"R",171,"R",91,"R",80,"R",0,"R",5,"R",34,"R",6,"R",0,"R",98,"R",2,"R",22,"R",4,"R",0,"R",66,"R",65,"R",40,"R",0
170240,02,"R",59,"R",14,"R",45,"R",0,"R",0,"R",9,"R",1,"R",0,"R",37,"R",1,"R",11,"R",0,"R",0,"R",27,"R",19,"R",13,"R",0
170240,03,"R",1274,"R",490,"R",784,"R",6,"R",28,"R",216,"R",30,"R",1,"R",730,"R",24,"R",214,"R",25,"R",1,"R",605,"R",501,"R",165,"R",2
170240,05,"R",8,"Z",0,"R",8,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",5,"Z",0
170286,05,"R",339,"R",174,"R",165,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",339,"Z",0,"R",0,"R",331,"R",7,"R",0,"R",1
170286,07,"R",10,"R",6,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"R",0,"R",2,"R",7,"R",1,"R",0
170286,09,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",0,"R",0,"R",2,"R",0,"R",0
170301,05,"R",684,"R",243,"R",441,"Z",0,"R",9,"R",18,"R",50,"Z",0,"R",578,"R",11,"R",3,"R",15,"Z",0,"R",668,"R",14,"R",2,"Z",0
170444,01,"R",44,"R",17,"R",27,"R",0,"R",0,"R",5,"R",0,"R",0,"R",32,"R",2,"R",5,"R",0,"R",1,"R",25,"R",13,"R",5,"R",0
170444,02,"R",114,"R",37,"R",77,"R",0,"R",3,"R",9,"R",4,"R",0,"R",87,"R",1,"R",10,"R",0,"R",1,"R",58,"R",36,"R",17,"R",2
170444,03,"R",637,"R",239,"R",398,"R",1,"R",10,"R",36,"R",10,"R",1,"R",486,"R",11,"R",81,"R",1,"R",17,"R",345,"R",206,"R",61,"R",8
170532,05,"R",312,"R",135,"R",177,"R",0,"R",30,"R",22,"R",36,"R",1,"R",177,"R",17,"R",9,"R",20,"R",0,"R",301,"R",11,"R",0,"R",0
170541,01,"R",85,"R",62,"R",23,"Z",0,"R",3,"R",10,"R",4,"Z",0,"R",64,"R",2,"R",1,"R",1,"R",2,"R",51,"R",18,"R",14,"R",0
170541,02,"R",95,"R",52,"R",43,"R",1,"R",1,"R",5,"R",4,"Z",0,"R",79,"R",4,"R",1,"Z",0,"R",0,"R",45,"R",41,"R",9,"R",0
170541,03,"R",902,"R",381,"R",521,"R",8,"R",10,"R",90,"R",29,"Z",0,"R",719,"R",19,"R",21,"R",6,"R",5,"R",512,"R",296,"R",89,"R",0
170550,01,"R",76,"R",46,"R",30,"R",0,"R",1,"R",5,"R",4,"R",0,"R",61,"R",0,"R",5,"R",0,"R",2,"R",32,"R",28,"R",14,"R",0
170550,02,"R",146,"R",30,"R",116,"R",2,"R",2,"R",10,"R",7,"R",0,"R",116,"R",0,"R",9,"R",0,"R",0,"R",47,"R",84,"R",15,"R",0
170550,03,"R",606,"R",156,"R",450,"R",7,"R",14,"R",61,"R",26,"R",0,"R",468,"R",0,"R",29,"R",1,"R",0,"R",267,"R",255,"R",84,"R",0
170587,01,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0
170587,02,"R",92,"R",53,"R",39,"R",2,"R",0,"R",0,"R",3,"R",0,"R",87,"R",0,"R",0,"R",0,"R",0,"R",51,"R",32,"R",9,"R",0
170587,03,"R",204,"R",61,"R",143,"R",2,"R",3,"R",6,"R",3,"R",0,"R",189,"R",0,"R",0,"R",1,"R",0,"R",97,"R",86,"R",21,"R",0
170611,01,"R",34,"R",0,"R",34,"R",0,"R",0,"R",5,"R",2,"R",0,"R",24,"R",3,"R",0,"R",0,"R",0,"R",29,"R",4,"R",1,"R",0
170611,02,"R",45,"R",1,"R",44,"R",0,"R",0,"R",3,"R",3,"R",0,"R",39,"R",0,"R",0,"R",0,"R",0,"R",36,"R",7,"R",2,"Z",0
170620,01,"R",15,"R",12,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13,"R",1,"R",1,"R",0,"R",0,"R",7,"R",5,"R",3,"R",0
170620,02,"R",10,"R",3,"R",7,"R",0,"R",0,"R",2,"R",1,"R",0,"R",7,"R",0,"R",0,"R",0,"R",0,"R",1,"R",8,"R",1,"R",0
170620,03,"R",428,"R",128,"R",300,"R",2,"R",9,"R",50,"R",38,"R",0,"R",300,"R",16,"R",13,"R",0,"R",1,"R",234,"R",131,"R",62,"R",0
170620,05,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0
170639,02,"R",11,"R",3,"R",8,"R",1,"R",1,"Z",0,"R",1,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",3,"Z",0,"Z",0
170639,03,"R",186,"R",94,"R",92,"R",16,"R",1,"R",1,"R",1,"Z",0,"R",159,"Z",0,"R",1,"R",7,"Z",0,"R",149,"R",31,"R",6,"Z",0
170639,05,"R",403,"R",198,"R",205,"R",27,"R",1,"R",5,"R",5,"Z",0,"R",311,"Z",0,"R",1,"R",53,"Z",0,"R",284,"R",103,"R",16,"Z",0
170657,01,"R",809,"R",347,"R",462,"R",7,"R",22,"R",51,"R",60,"R",3,"R",594,"R",27,"R",41,"R",4,"R",18,"R",475,"R",233,"R",83,"Z",0
170657,02,"R",476,"R",214,"R",262,"R",4,"R",15,"R",25,"R",31,"R",0,"R",364,"R",11,"R",23,"R",3,"R",1,"R",291,"R",142,"R",42,"R",0
170657,03,"R",1572,"R",618,"R",954,"R",12,"R",46,"R",129,"R",100,"R",9,"R",1105,"R",59,"R",96,"R",16,"R",1,"R",852,"R",560,"R",159,"R",0
170675,02,"R",9,"R",7,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",7,"R",0,"R",5,"R",4,"R",0,"R",0
170675,03,"R",8,"R",7,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",2,"R",0,"R",5,"R",0,"R",0,"R",2,"R",6,"R",0,"R",0
170675,05,"R",378,"R",265,"R",113,"R",2,"R",10,"R",9,"R",16,"R",0,"R",220,"R",10,"R",13,"R",98,"R",0,"R",264,"R",104,"R",10,"R",0
170675,07,"R",411,"R",317,"R",94,"R",1,"R",10,"R",10,"R",9,"R",0,"R",105,"R",0,"R",8,"R",268,"R",0,"R",155,"R",217,"R",39,"R",0
170675,09,"R",9,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",0,"R",2,"R",4,"R",0,"R",0,"R",4,"R",5,"R",0
170675,10,"R",25,"R",23,"R",2,"R",0,"R",1,"R",2,"R",0,"R",0,"R",11,"R",0,"R",0,"R",11,"R",0,"R",6,"R",15,"R",4,"R",0
170736,02,"R",25,"R",1,"R",24,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",10,"R",1,"Z",0
170790,01,"R",71,"R",22,"R",49,"R",0,"R",2,"R",5,"R",3,"R",0,"R",46,"R",1,"R",4,"R",10,"R",0,"R",23,"R",33,"R",15,"R",0
170790,02,"R",363,"R",251,"R",112,"R",5,"R",6,"R",29,"R",13,"R",0,"R",264,"R",4,"R",23,"R",19,"R",1,"R",141,"R",144,"R",77,"R",0
170790,03,"R",2333,"R",1025,"R",1308,"R",15,"R",71,"R",183,"R",48,"R",4,"R",1656,"R",44,"R",180,"R",132,"R",1,"R",1131,"R",934,"R",267,"R",0
170806,01,"R",105,"R",29,"R",76,"R",0,"R",3,"R",27,"R",3,"R",0,"R",63,"R",0,"R",2,"R",7,"R",0,"R",38,"R",38,"R",29,"R",0
170806,02,"R",61,"R",6,"R",55,"R",0,"R",1,"R",4,"R",1,"R",0,"R",54,"R",0,"R",1,"R",0,"R",0,"R",20,"R",27,"R",14,"R",0
170806,03,"R",19,"R",4,"R",15,"R",0,"R",0,"R",1,"R",0,"R",0,"R",7,"R",0,"R",0,"R",11,"R",0,"R",15,"R",3,"R",1,"R",0
170806,05,"R",651,"R",209,"R",442,"R",0,"R",6,"R",58,"R",26,"R",0,"R",430,"R",12,"R",7,"R",112,"R",0,"R",367,"R",230,"R",54,"R",0
170806,07,"R",204,"R",25,"R",179,"R",0,"R",5,"R",50,"R",4,"R",0,"R",137,"R",2,"R",1,"R",5,"R",0,"R",9,"R",124,"R",71,"R",0
